SIZE,ADD,PEEK,MODIFY,REMOVE,SIZE
5000,40,30,2134,80,30,
5000,30,30,2134,70,30,
5000,30,30,2144,80,30,
5000,30,30,2124,90,30,
5000,30,30,2134,60,30,
5000,40,30,2174,110,30,
5000,30,31,2144,90,30,
5000,30,30,2154,80,30,
5000,30,30,2134,70,30,
5000,30,30,2134,61,20,
5000,30,30,2124,100,30,
5000,30,31,2174,60,30,
5000,30,30,2144,80,30,
5000,30,30,2164,91,30,
5000,30,30,2124,80,30,
5000,30,31,2154,60,30,
5000,31,30,2124,50,30,
5000,30,30,2124,50,30,
5000,30,30,2134,70,30,
5000,30,30,2144,81,30,
5000,30,30,2144,90,30,
5000,30,31,2154,80,30,
5000,30,30,2114,70,30,
5000,30,30,2114,90,31,
5000,30,20,2134,71,30,
5000,30,30,2114,70,30,
5000,30,30,2114,90,30,
5000,30,20,2144,80,30,
5000,30,30,2124,80,30,
5000,30,30,2124,90,30,
5000,40,30,2104,101,30,
5000,30,30,2114,100,30,
5000,30,30,2124,70,30,
5000,30,30,2264,101,30,
5000,30,20,2194,110,30,
5000,30,30,2154,80,30,
5000,30,30,2154,91,30,
5000,30,30,2144,80,30,
5000,40,30,4508,91,30,
5000,30,30,2956,70,30,
5000,30,30,2194,60,30,
5000,30,30,2174,120,30,
5000,30,20,2204,70,20,
5000,30,30,2184,110,30,
5000,30,30,2144,60,30,
5000,30,30,2164,100,30,
5000,30,30,2174,90,30,
5000,30,30,2154,91,30,
5000,30,30,2155,80,30,
5000,30,31,2134,70,30,
5000,30,30,2164,60,30,
5000,30,30,2154,60,30,
5000,30,30,2174,100,30,
5000,30,30,2154,80,30,
5000,31,30,2164,100,30,
5000,30,30,2164,60,30,
5000,30,30,2164,90,30,
5000,30,31,2174,110,30,
10000,50,30,6512,210,30,
10000,30,30,5070,110,30,
10000,30,30,4338,110,30,
10000,30,30,4188,71,30,
10000,30,30,4168,101,30,
10000,30,30,4167,120,20,
10000,71,30,4188,70,30,
10000,30,30,4168,90,30,
10000,30,30,4118,80,20,
10000,30,30,4128,130,30,
10000,30,20,4178,130,30,
10000,30,30,4108,110,30,
10000,30,30,4098,80,30,
10000,30,30,4118,90,20,
10000,30,30,4358,91,30,
10000,30,30,4118,111,30,
10000,40,30,4068,110,30,
10000,30,20,4118,120,20,
10000,30,30,4088,120,30,
10000,30,30,4068,110,31,
10000,30,31,4158,110,30,
10000,30,30,4128,90,30,
10000,30,30,4118,110,30,
10000,30,30,10409,100,20,
10000,30,30,4579,110,31,
10000,40,30,4118,70,30,
10000,30,30,4138,130,30,
10000,30,30,4108,80,31,
10000,30,30,4108,90,30,
10000,30,20,4118,110,31,
10000,30,30,4158,120,30,
10000,30,30,4178,81,30,
10000,30,20,4098,101,20,
10000,30,30,4138,91,30,
10000,30,30,4138,101,30,
10000,30,30,4138,101,30,
10000,30,20,4168,81,30,
10000,30,30,4207,80,20,
10000,30,31,4198,130,30,
10000,41,30,4148,80,30,
10000,60,30,8106,90,30,
10000,40,20,4128,90,30,
10000,30,30,4138,110,20,
10000,30,30,4318,80,30,
10000,40,30,4137,101,30,
10000,30,30,8015,90,30,
10000,30,30,4468,70,30,
10000,40,21,4168,80,30,
10000,30,20,4168,100,30,
10000,30,30,4148,70,30,
10000,30,30,4108,110,30,
10000,30,30,4107,110,20,
10000,30,30,4107,110,30,
10000,30,30,8897,100,30,
10000,30,30,6693,90,30,
10000,30,30,4218,110,30,
10000,30,30,4168,80,30,
10000,30,30,4198,60,31,
10000,30,20,4148,70,30,
10000,30,30,4118,100,30,
10000,30,30,7234,80,30,
10000,30,30,4098,80,30,
10000,30,20,4138,70,30,
10000,40,30,4108,110,30,
10000,30,30,4138,70,30,
10000,30,30,4108,110,30,
10000,30,30,4158,80,30,
10000,30,30,4138,120,30,
10000,30,30,4098,100,20,
10000,30,30,4108,110,30,
10000,30,30,4108,80,30,
10000,30,30,4108,50,30,
10000,30,30,4097,120,30,
10000,30,30,4077,140,20,
10000,30,30,4087,130,30,
10000,30,31,4137,120,30,
10000,30,20,4248,90,30,
10000,30,30,4158,90,30,
10000,30,30,4118,80,30,
10000,30,30,4138,130,20,
10000,30,30,7504,90,30,
10000,30,30,4148,80,30,
10000,30,30,4128,110,30,
10000,40,30,4098,80,30,
10000,40,31,4127,100,30,
10000,30,31,4158,90,30,
10000,30,30,4128,70,30,
10000,30,30,4118,80,30,
10000,30,31,4117,80,30,
10000,30,30,4107,111,30,
10000,30,30,4107,81,30,
10000,30,30,4097,71,30,
10000,30,20,4118,80,30,
10000,30,30,4108,80,31,
10000,40,20,4108,80,30,
10000,30,30,4108,90,31,
10000,30,30,4118,80,30,
10000,30,20,4138,130,30,
10000,30,30,4228,81,30,
10000,40,30,4148,81,30,
50000,40,20,24777,622,30,
50000,30,30,18896,130,30,
50000,30,30,18154,100,30,
50000,30,30,18084,110,30,
50000,30,30,36940,171,30,
50000,261,30,19587,140,30,
50000,30,30,18766,150,30,
50000,30,30,19337,120,20,
50000,30,30,18676,120,30,
50000,31,30,53461,241,20,
50000,40,30,35858,201,30,
50000,31,30,21160,170,30,
50000,30,30,21570,230,20,
50000,30,30,21491,140,30,
50000,30,30,21461,140,30,
50000,30,30,21491,130,30,
50000,30,30,21481,220,30,
50000,30,30,21491,120,20,
50000,30,30,21651,161,20,
50000,30,30,21551,141,30,
50000,30,20,24696,131,30,
50000,30,21,21591,120,30,
50000,31,30,21601,150,30,
50000,30,30,21581,130,30,
50000,30,30,21561,110,21,
50000,30,30,21561,131,20,
50000,30,30,21630,100,30,
50000,30,30,21561,90,30,
50000,31,30,21591,130,30,
50000,30,30,21601,150,30,
50000,30,20,21601,110,30,
50000,30,30,21591,161,20,
50000,30,30,21600,140,30,
50000,30,30,21651,140,20,
50000,30,30,21641,120,30,
50000,30,30,21641,121,30,
50000,30,30,21600,110,30,
50000,30,31,21611,140,30,
50000,30,30,21641,140,31,
50000,30,30,21641,90,30,
50000,30,30,21651,130,30,
50000,30,30,21721,70,21,
50000,30,30,21711,91,30,
50000,30,30,21681,140,30,
50000,30,30,21711,120,31,
50000,30,30,21741,121,30,
50000,30,30,21761,110,30,
50000,30,30,21731,90,30,
50000,30,30,21762,130,30,
50000,31,20,21761,70,30,
50000,30,30,21761,140,30,
50000,30,21,30357,101,30,
50000,30,30,21832,130,30,
50000,30,30,21781,101,30,
50000,30,30,21781,110,30,
50000,30,30,21811,80,30,
50000,30,30,21831,110,30,
50000,60,30,21862,120,30,
50000,31,30,21821,131,30,
50000,30,30,21832,90,30,
50000,30,30,18505,90,30,
50000,30,30,18275,140,30,
50000,30,30,18414,130,30,
50000,30,30,18345,80,30,
50000,30,30,18345,80,30,
50000,30,30,18335,100,20,
50000,30,30,18355,90,30,
50000,91,30,18335,90,30,
50000,30,30,18314,90,30,
50000,30,30,18354,100,30,
50000,30,31,18324,101,30,
50000,30,30,18404,80,30,
50000,30,30,18414,110,30,
50000,30,31,18404,130,30,
50000,30,30,18415,110,30,
50000,41,20,18405,110,30,
50000,30,30,90000,170,30,
50000,30,30,18495,90,30,
50000,30,30,18465,130,30,
50000,30,30,18445,120,20,
50000,30,20,18485,110,30,
50000,30,30,34616,151,30,
50000,30,30,40527,130,30,
50000,40,30,38432,120,30,
50000,40,30,38994,160,30,
50000,40,30,38032,180,30,
50000,31,30,38182,110,30,
50000,30,30,38452,110,30,
50000,40,30,66906,261,40,
50000,40,40,35438,221,30,
50000,30,20,18596,150,30,
50000,30,30,18545,61,30,
50000,30,30,18565,90,30,
50000,30,30,18575,90,30,
50000,40,30,18606,70,30,
50000,30,30,18555,90,20,
50000,30,30,18535,101,30,
50000,31,30,18595,100,30,
50000,30,30,18555,160,30,
50000,30,30,18585,120,20,
100000,80,30,41308,541,31,
100000,30,30,37150,241,30,
100000,30,30,35517,221,30,
100000,30,30,35237,180,30,
100000,30,30,35127,200,30,
100000,30,30,38343,180,30,
100000,30,30,36610,170,30,
100000,30,30,36610,150,30,
100000,30,30,35688,170,30,
100000,30,30,36710,140,30,
100000,30,30,36099,130,30,
100000,30,30,35507,190,20,
100000,30,30,35698,170,30,
100000,30,30,35337,161,30,
100000,30,20,35126,181,30,
100000,30,31,35106,161,30,
100000,30,30,35046,120,30,
100000,30,30,35538,140,30,
100000,30,30,34906,141,30,
100000,30,31,34886,120,30,
100000,30,30,34906,181,30,
100000,41,20,34926,231,30,
100000,30,30,40937,171,30,
100000,30,31,35016,170,30,
100000,30,30,35267,231,30,
100000,31,30,34936,181,30,
100000,30,30,34906,160,30,
100000,30,30,34916,161,30,
100000,30,20,34856,150,30,
100000,30,30,34846,161,30,
100000,30,31,34866,120,30,
100000,30,30,34876,121,20,
100000,30,30,34886,180,30,
100000,30,30,34906,171,30,
100000,30,30,34936,130,30,
100000,30,30,34976,140,30,
100000,30,30,34976,191,30,
100000,30,30,34926,140,21,
100000,30,30,35017,150,30,
100000,30,30,35026,130,30,
100000,31,30,34986,171,30,
100000,30,31,35156,171,30,
100000,30,30,35307,110,30,
100000,30,30,35046,110,30,
100000,30,30,35046,151,30,
100000,30,30,35026,140,30,
100000,30,30,35047,190,30,
100000,30,30,35127,180,30,
100000,30,20,35087,180,30,
100000,30,30,35387,151,20,
100000,40,31,39464,160,30,
100000,30,30,35187,200,20,
100000,30,30,35137,100,30,
100000,30,30,35277,160,31,
100000,30,30,35227,120,30,
100000,30,30,35107,130,31,
100000,30,30,35317,151,30,
100000,30,30,35166,181,30,
100000,30,30,35196,130,30,
100000,30,30,35287,140,30,
100000,30,30,35187,170,30,
100000,30,30,35207,190,30,
100000,30,20,35257,131,30,
100000,30,30,35176,171,30,
100000,40,20,35166,200,30,
100000,30,30,35166,160,30,
100000,30,30,35157,170,30,
100000,30,30,37451,211,30,
100000,40,30,70784,170,31,
100000,31,30,65855,190,30,
100000,30,30,69972,170,30,
100000,30,31,68038,220,30,
100000,30,40,68249,190,30,
100000,30,30,75233,221,30,
100000,30,30,71124,190,30,
100000,30,30,39315,190,30,
100000,30,30,35247,171,30,
100000,30,30,35236,171,30,
100000,31,30,35247,180,30,
100000,30,30,35247,160,30,
100000,30,30,35327,120,30,
100000,31,30,35317,160,30,
100000,30,20,35487,150,30,
100000,30,30,35267,120,30,
100000,30,30,35337,181,20,
100000,30,31,35296,140,30,
100000,30,30,35277,130,30,
100000,30,30,35337,151,20,
100000,30,30,35316,120,30,
100000,30,30,35307,200,30,
100000,30,30,35357,161,30,
100000,30,30,35347,120,30,
100000,30,30,35337,141,30,
100000,30,30,35347,100,30,
100000,30,30,35377,160,30,
100000,30,30,35417,140,30,
100000,30,30,35377,141,30,
100000,30,30,58590,180,30,
100000,30,30,66536,171,30,
100000,30,30,76174,251,30,
500000,120,30,423391,441,30,
500000,40,40,456985,400,20,
500000,30,20,197794,221,30,
500000,30,30,172537,260,30,
500000,30,30,167487,210,20,
500000,30,30,168389,231,30,
500000,30,20,171174,180,30,
500000,30,30,193025,170,30,
500000,30,30,169320,150,30,
500000,30,30,173669,190,30,
500000,30,30,170002,171,30,
500000,30,30,167597,140,30,
500000,30,30,220076,200,30,
500000,30,30,165484,210,30,
500000,30,30,163450,130,30,
500000,30,20,163449,160,30,
500000,30,30,163499,200,30,
500000,30,30,162969,431,20,
500000,30,30,180381,261,30,
500000,30,30,177335,200,30,
500000,30,20,163078,200,30,
500000,30,30,163199,151,20,
500000,30,31,163459,201,30,
500000,30,31,163058,290,30,
500000,211,30,181113,180,30,
500000,30,20,162658,181,30,
500000,30,30,162688,140,30,
500000,30,30,167247,150,30,
500000,30,30,162598,191,30,
500000,30,30,163128,160,30,
500000,30,30,167076,121,30,
500000,30,30,162597,110,30,
500000,31,30,162678,160,30,
500000,30,30,162628,141,30,
500000,30,20,167547,130,30,
500000,30,30,185291,301,30,
500000,30,31,179840,191,30,
500000,30,30,162788,190,30,
500000,30,30,162828,200,30,
500000,30,30,162768,181,30,
500000,30,30,162798,180,30,
500000,30,30,162768,181,30,
500000,30,30,176053,180,31,
500000,30,30,162738,200,30,
500000,30,30,162798,211,30,
500000,30,30,162778,180,30,
500000,30,30,163390,200,31,
500000,30,30,162969,220,30,
500000,30,20,168839,211,30,
500000,30,30,162858,211,30,
500000,30,30,162698,180,20,
500000,30,30,162728,201,30,
500000,31,20,162898,171,30,
500000,30,30,162948,181,30,
500000,31,30,347027,231,30,
500000,30,30,295098,221,30,
500000,100,30,166265,210,20,
500000,30,30,165423,150,31,
500000,30,30,183968,190,30,
500000,30,30,165343,390,30,
500000,30,30,163740,621,30,
500000,30,30,257999,250,30,
500000,30,20,203675,230,30,
500000,30,30,213834,190,31,
500000,30,30,197043,310,30,
500000,30,30,164561,230,30,
500000,30,20,164141,170,20,
500000,30,30,170593,230,30,
500000,30,30,163279,161,30,
500000,30,31,330826,200,30,
500000,30,30,252868,260,30,
500000,50,40,311189,290,31,
500000,30,30,261736,271,30,
500000,30,20,201121,361,30,
500000,40,30,182285,341,30,
500000,30,30,167327,241,30,
500000,30,20,165623,220,30,
500000,30,30,273387,321,30,
500000,40,30,179440,211,30,
500000,30,30,182034,301,20,
500000,40,30,167257,260,30,
500000,30,21,168919,160,30,
500000,30,30,184519,150,30,
500000,30,20,168118,171,30,
500000,30,30,164601,130,30,
500000,31,30,164501,151,30,
500000,30,30,163549,210,30,
500000,30,30,163189,150,31,
500000,30,30,192865,280,31,
500000,40,30,201482,281,20,
500000,30,20,186834,160,30,
500000,30,30,185942,181,30,
500000,31,30,186322,180,30,
500000,30,30,229454,301,30,
500000,30,30,174590,241,30,
500000,30,30,188296,201,30,
500000,30,30,186653,130,30,
500000,30,30,189238,211,30,
500000,30,31,249983,571,30,
500000,30,31,188887,201,20,
1000000,60,30,469068,441,30,
1000000,30,20,457816,491,30,
1000000,30,30,427890,441,30,
1000000,30,30,435424,501,30,
1000000,30,31,546344,681,30,
1000000,50,40,547246,652,30,
1000000,40,40,522900,381,30,
1000000,30,30,791167,571,30,
1000000,30,30,762373,531,30,
1000000,30,30,842604,581,30,
1000000,30,20,720494,221,30,
1000000,30,30,412821,311,30,
1000000,30,30,405026,200,30,
1000000,30,30,393936,211,30,
1000000,31,30,392683,281,30,
1000000,30,30,373647,191,30,
1000000,31,20,377384,310,30,
1000000,30,30,394407,341,30,
1000000,30,30,372735,230,30,
1000000,30,30,429433,311,20,
1000000,30,30,535493,682,30,
1000000,40,30,701598,431,30,
1000000,30,30,642626,321,30,
1000000,30,30,642576,340,20,
1000000,30,30,448078,421,30,
1000000,30,30,425515,340,30,
1000000,30,30,404094,851,30,
1000000,30,30,393645,361,30,
1000000,30,30,540292,330,30,
1000000,30,30,367735,310,30,
1000000,30,30,361223,241,30,
1000000,30,30,358709,331,30,
1000000,30,30,439081,521,31,
1000000,30,30,423140,381,20,
1000000,30,31,421507,280,30,
1000000,30,30,520565,370,30,
1000000,30,30,435804,220,30,
1000000,50,31,462896,190,30,
1000000,30,30,457045,311,30,
1000000,30,20,499756,661,30,
1000000,30,20,480469,832,20,
1000000,30,30,488895,732,30,
1000000,30,30,451724,341,30,
1000000,30,30,540483,782,30,
1000000,30,30,620404,360,30,
1000000,30,30,485940,331,30,
1000000,30,30,392482,371,30,
1000000,31,30,430054,321,20,
1000000,30,30,434342,410,30,
1000000,30,30,505847,200,30,
1000000,30,30,419684,381,30,
1000000,30,30,464880,371,30,
1000000,30,30,417129,200,30,
1000000,30,30,386461,251,30,
1000000,30,30,350142,170,30,
1000000,30,30,349862,210,30,
1000000,30,30,343110,301,30,
1000000,31,30,338410,210,30,
1000000,30,30,339472,260,30,
1000000,30,30,340915,251,30,
1000000,31,20,354150,230,20,
1000000,30,30,343220,210,30,
1000000,30,30,334533,220,30,
1000000,30,30,328923,191,30,
1000000,30,30,371192,260,30,
1000000,30,30,350393,230,30,
1000000,30,30,462426,511,30,
1000000,30,30,392813,191,30,
1000000,30,30,398344,180,30,
1000000,30,30,397923,270,30,
1000000,90,30,401179,120,31,
1000000,30,30,356956,171,20,
1000000,30,30,358819,251,20,
1000000,30,30,335785,160,30,
1000000,30,30,339502,200,30,
1000000,30,30,332790,181,30,
1000000,30,30,329513,240,30,
1000000,30,30,333241,171,30,
1000000,30,31,329423,241,30,
1000000,30,30,327440,190,30,
1000000,30,20,370171,221,30,
1000000,60,20,326818,190,30,
1000000,30,30,325256,251,30,
1000000,30,30,362526,261,30,
1000000,30,30,364560,200,30,
1000000,30,30,363828,221,30,
1000000,31,30,413322,371,30,
1000000,31,30,444671,140,30,
1000000,30,20,398515,201,30,
1000000,31,30,402762,220,30,
1000000,30,30,387313,141,30,
1000000,30,30,377033,250,31,
1000000,80,30,363337,200,30,
1000000,30,30,374108,260,30,
1000000,30,30,450652,301,30,
1000000,31,30,358408,210,30,
1000000,30,20,361855,280,30,
1000000,30,30,347889,170,30,
1000000,30,30,347678,190,30,
1000000,30,30,342498,181,30,
SIZE,ADD,PEEK,MODIFY,REMOVE,SIZE
100,50,30,161,210,30,
100,40,30,180,100,40,
100,40,31,130,110,41,
100,40,30,111,60,40,
100,40,40,130,150,40,
100,40,40,130,91,40,
100,40,40,140,120,40,
100,40,40,140,90,40,
100,40,30,151,80,40,
100,40,40,140,60,40,
100,40,40,170,111,40,
100,41,40,160,70,30,
100,40,41,150,60,40,
100,40,40,151,70,40,
100,40,30,140,90,40,
100,40,40,140,60,40,
100,40,40,150,50,40,
100,40,40,151,50,40,
100,41,40,150,101,40,
100,40,31,150,70,41,
100,40,40,161,50,40,
100,40,40,150,41,40,
100,40,41,110,40,40,
100,40,40,90,40,40,
100,40,30,80,30,40,
100,40,40,91,40,40,
100,41,40,90,40,30,
100,30,40,81,40,40,
100,40,40,90,40,40,
100,40,40,90,40,30,
100,40,40,90,41,30,
100,40,41,80,40,40,
100,40,30,90,40,40,
100,40,40,90,40,30,
100,40,40,91,40,40,
100,40,40,80,40,41,
100,40,40,91,40,40,
100,40,40,90,40,40,
100,40,40,90,40,40,
100,40,30,90,40,40,
100,40,40,101,40,40,
100,40,40,90,41,40,
100,40,41,90,40,30,
100,40,40,80,40,40,
100,40,40,90,40,40,
100,40,30,80,40,40,
100,40,40,90,40,40,
100,40,40,81,40,40,
100,41,30,80,40,40,
100,40,30,91,40,40,
100,40,30,90,40,40,
100,40,40,90,40,40,
100,40,40,90,41,40,
100,40,41,90,40,40,
100,40,40,90,40,40,
100,40,40,80,40,40,
100,40,40,90,40,30,
100,40,40,80,40,40,
100,40,30,81,40,40,
100,41,40,90,40,30,
100,40,40,90,40,40,
